No,15,ReferendumTypeCode,PrimaryContactId,AgencyCode,AgencyName,VoteDate, Amount ,ReferendaContact,YesVotes,NoVotes,ReferendumStatusCode,IsCertificationReceived,IsDpiReviewed,BriefDescription,FullDescription,ModifiedDate
1,5924,Non-Recurring Referendum,,3850,Riverdale School District,"Tuesday, August 13, 2024"," $ 5,155,000.00 ",Leah Boebel,483,491,Failed,,,"Non reccuring referendum for a total of $5,155,000 over five years.  ","The district will be asking for $1,500,000.00 for 4 years with a non-recurring referendum.",
2,6044,Non-Recurring Referendum,,0063,Albany School District,"Tuesday, November 5, 2024"," $ 3,750,000.00 ",Shari Berget,959,891,Passed,,,"NON-RECURRING REFERENDUM 24/25 $1,250,000 25/26 $1,250,000 26/27 $1,250,000","RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT BY $1,250,000 PER YEAR FOR THREE YEARS STARTING 24/25 FOR NON-RECURRING PURPOSES FOR OPERATIONAL PURPOSES",
3,6017,Issue Debt,,0091,Alma Center-Humbird-Merillan School District,"Tuesday, November 5, 2024"," $ 2,910,000.00 ",Drew Semingson,817,605,Passed,,,"With successful passage of the referendum to issue debt, The Lincoln School District will complete a school building and facility improvement project consisting of: construction of an addition and renovations at the Elementary School for classrooms and to repurpose existing space for a new childcare center, and traffic flow and safety upgrades; district-wide capital maintenance, building infrastructure and site improvements; and acquisition of furnishings, fixtures and equipment.","BE IT RESOLVED by the School Board of the School District of Alma Center-Humbird-Merrillan, Jackson and Clark Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $2,910,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of: construction of an addition and renovations at the Elementary School for classrooms and to repurpose existing space for a new childcare center, and traffic flow and safety upgrades; district-wide capital  maintenance, building infrastructure and site improvements; and acquisition of furnishings, fixtures and equipment.",
4,6018,Non-Recurring Referendum,,0091,Alma Center-Humbird-Merillan School District,"Tuesday, November 5, 2024"," $ 2,980,000.00 ",Drew Semingson,900,524,Passed,,,"The District will be seeking $745,000 annually for 4 years for operating expenses and capital improvement projects.","BE IT RESOLVED by the School Board of the School District of Alma Center-Humbird-Merrillan, Jackson and Clark Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $745,000 per year for four years, beginning with the 2024-2025 school year and ending with the 2027-2028 school year, for non-recurring purposes consisting of operational and facility maintenance expenses, including for roof and floor replacement, HVAC upgrades, safety updates and technology infrastructure.",
5,5970,Issue Debt,,0140,Antigo Unified School District,"Tuesday, November 5, 2024"," $ 54,000,000.00 ",Michelle Zoromski,5149,4316,Passed,,,"Issue debt in an amount not to exceed $54,000,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of: construction of a new elementary school, related site improvements and possible land acquisition; improvements for the relocation of the district offices; capital maintenance and building infrastructure improvements at the Middle and High Schools; and acquisition of furnishings, fixtures and equipment.","BE IT RESOLVED by the School Board of the Unified School District of Antigo, Langlade, Shawano and Marathon Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $54,000,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of: construction of a new elementary school, related site improvements and possible land acquisition; improvements for the relocation of the district offices; capital maintenance and building infrastructure improvements at the Middle and High Schools; and acquisition of furnishings, fixtures and equipment.",
6,5994,Recurring Referendum,,0161,Argyle School District,"Tuesday, November 5, 2024"," $ 800,000.00 ",Megan Leonard,623,447,Passed,,,"Argyle School District is asking to exceed the revenue limit by $310,000 for recurring purposes starting with the 2024-25 school year and an additional $490,000 for recurring purposes starting with the 2026-27 school year for a total recurring amount of $800,000.","BE IT RESOLVED by the School Board of the School District of Argyle, Lafayette and Green Counties, Wisconsin that the revenues included in the School District budget be",
7,5936,Issue Debt,,2450,Arrowhead UHS School District,"Tuesday, November 5, 2024"," $ 261,200,000.00 ",Jeff Gross,10006,14092,Failed,,,"To issue general obligation bonds in an amount not to exceed $261,200,000 for construction of a new high school building, including an auditorium and pool, to consolidate grades 9-12 into one building on the current campus.","Shall the Arrowhead Union High School District, Waukesha County, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $261,200,000 for the public purpose of paying the cost of a school building and facility improvement project consisting of:  construction of a new high school building, including an auditorium and pool, to consolidate grades 9-12 into one building on the current campus to improve safety, security, efficiency, and learning spaces; related demolition of current facilities; athletic facility and site improvements; and acquisition of furnishings, fixtures, and equipment?",
8,5935,Non-Recurring Referendum,,2450,Arrowhead UHS School District,"Tuesday, November 5, 2024"," $ 7,600,000.00 ",Jeff Gross,12272,11879,Passed,,,"To exceed the revenue limit by $1,900,000 per year, for four years, for non-recurring purposes consisting of educational, operational, and maintenance expenses.","authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $310,000 for the 2024-2025 school year (and to remain at that amount for the 2025-2026 school year), and by an additional $490,000 for the 2026-2027 school year (for a total of $800,000 and to remain at that amount thereafter), for recurring purposes consisting of sustaining district operating expenses to maintain the current level of operations.",
9,6054,Non-Recurring Referendum,,0170,Ashland School District,"Tuesday, November 5, 2024"," $ 10,000,000.00 ",Amanda Tutor,3447,3537,Failed,,,RESOLUTION AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT,"BE IT RESOLVED by the School Board of the School District of Ashland, Ashland and Bayfield Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $2,000,000 per year for five years, beginning with the 2025-2026 school year and ending with the 2029-2030 school year, for non-recurring purposes consisting of operational expenses, including wages, benefits, curriculum, professional development and maintenance. Adopted and recorded August 19, 2024.",
10,5925,Non-Recurring Referendum,,0182,Ashwaubenon School District,"Tuesday, November 5, 2024"," $ 2,850,000.00 ",Keith Lucius,5660,3359,Passed,,,"Operational referendum to renew 2020 referendum for student mental health supports $950,000 annually for 3 years","BE IT RESOLVED by the School Board of the Ashwaubenon School District, Brown County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $950,000 per year for three years, beginning with the 2025-2026 school year and ending with the 2027-2028 school year, for non-recurring purposes consisting of expenses associated with providing student mental health and behavioral supports.",
