OriginalReferendumId,ReferendumTypeCode,PrimaryContactId,AgencyCode,AgencyName,VoteDate, Amount ,ReferendaContact,YesVotes,NoVotes,ReferendumStatusCode,IsCertificationReceived,IsDpiReviewed,BriefDescription,FullDescription,ModifiedDate
5849,Issue Debt,598,7,Abbotsford School District,"Tuesday, April 2, 2024"," $ 17,000,000.00 ",Ashley Dake,328,241,Passed,FALSE,FALSE,Debt Referendum,"Shall the School District of Abbotsford, Clark and Marathon Counties, Wisconsin be authorized to issue pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $17,000,000 for the public purpose of paying the cost of a school facility improvement project at the Middle/High School and Elementary School building consisting of:  construction of additions, including for a safe and secure entrance, classrooms and a library; renovations, including to classrooms, the technical education area and district offices; safety, security, building infrastructure, systems, parking and site improvements; technology and ADA accessibility updates; and acquisition of furnishings, fixtures and equipment?",1/2/24 10:57
5858,Issue Debt,6043,70,Algoma School District,"Tuesday, April 2, 2024"," $ 10,050,000.00 ",Jesse Brinkmann,1003,475,Passed,FALSE,FALSE,"Improvements to District buildings and grounds including safety, security and energy efficiency upgrades. Improvements to elementary school plumbing, roof and playground surface replacements. Renovating and remodeling middle/high school classrooms and support areas, restrooms, parking lot replacement, track resurfacing, window and door replacements. Renovating the Performing Arts Center audio, lighting and acoustical ceiling.","BE IT RESOLVED by the School Board of the School District of Algoma, Kewaunee County, Wisconsin, that there shall be issued, pursuant to Chapter 67, Wisconsin Statutes, General Obligation Bonds in an amount not to exceed $10,050,000 for the purpose of paying the costs of improvements to District buildings and grounds including safety, security and energy efficiency upgrades; elementary school plumbing, roof and playground surface replacements; renovating and remodeling middle/high school classrooms and support areas; middle/high school restroom remodeling and parking lot replacement; track resurfacing; window and door replacements; Performing Arts Center audio, lighting and acoustical ceiling upgrades and addressing Americans with Disabilities Act compliance issues.",1/10/24 11:42
5909,Recurring Referendum,1030,287,Barneveld School District,"Tuesday, April 2, 2024"," $ 1,000,000.00 ",Jean Flannery,576,284,Passed,FALSE,FALSE,Operating Costs and Maintenance,"BE IT RESOLVED by the School Board of the Barneveld School District, Iowa and Dane Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $1,000,000 for the 2024-2025 school year, for recurring purposes consisting of operational and maintenance expenses.",1/24/24 11:14
5887,Non-Recurring Referendum,474,413,Beloit School District,"Tuesday, April 2, 2024"," $ 27,000,000.00 ",Robert Chady,2031,2989,Failed,FALSE,FALSE,"Seeking voter authority to exceed the revenue limits by $9,000,000 per year, non-recurring, for the 2024-25, 2025-26 & 2026-27 school years for operational purposes.","BE IT RESOLVED by the School Board of the School District of Beloit, Rock County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $9,000,000 per year for each of the 2024-2025, 2025-2026 and 2026-2027 school years, for non-recurring purposes, consisting of operational and maintenance expenses including: staff compensation and benefits, to maintain district facilities, to maintain current course offerings, programming and class sizes, and for instructional resources and special education.",1/16/24 21:23
5845,Recurring Referendum,778,441,Birchwood School District,"Tuesday, April 2, 2024"," $ 2,600,000.00 ",Jenny Schieffer,532,262,Passed,FALSE,FALSE,Operational referendum to cover ongoing expenses.,"BE IT RESOLVED by the School Board of the School District of Birchwood that it shall include revenue in its budget for the 2025-2026 school year and thereafter a sum not to exceed $2,600,000 per school year in excess of the revenue limits set forth in Wis. Stat. § 121.91 for the purpose of meeting operational expenses.",12/21/23 12:11
5852,Issue Debt,8862,637,Boyceville Community School District,"Tuesday, April 2, 2024"," $ 18,000,000.00 ",Alesha Kersten,725,430,Passed,FALSE,FALSE,"Paying the cost of a school facility improvement project consisting of:  district-wide building systems, infrastructure and capital maintenance improvements; remodeling, safety, security and site improvements at the Elementary and Middle/High Schools; technology updates; improvements to the bus garage; and acquisition of furnishings, fixtures, and equipment, including school buses/vehicles.","BE IT RESOLVED by the School Board of the Boyceville Community School District, Dunn, St. Croix and Barron Counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $18,000,000 for the public purpose of paying the cost of a school facility improvement project consisting of:  district-wide building systems, infrastructure and capital maintenance improvements; remodeling, safety, security and site improvements at the Elementary and Middle/High Schools; technology updates; improvements to the bus garage; and acquisition of furnishings, fixtures, and equipment, including school buses/vehicles.

Adopted and recorded January 3, 2024.",1/4/24 0:00
5866,Non-Recurring Referendum,749,657,Brighton #1 School District,"Tuesday, April 2, 2024"," $ 950,000.00 ",Melissa Grohs,277,237,Passed,FALSE,FALSE,"Operational Referendum 2024-2025 , 2025-2026 , 2026-2027","""Shall the School District Number 1, Town of Brighton, Kenosha and Racine Counties, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $200,000 for the 2024-2025 school year, by $225,000 for the 2025-2026 school year, by $250,000 for the 2026-2027 school year and by $275,000 for the 2027-2028 school year, for non-recurring purposes consisting of operational expenses and maintaining educational programming?""",1/16/24 11:04
5901,Non-Recurring Referendum,748,665,Bristol #1 School District,"Tuesday, April 2, 2024"," $ 1,400,000.00 ",Susan Jarvis,774,784,Failed,FALSE,FALSE,"2-year non-recurring Operational Referendum to exceed the revenue limit by $700,000 per year beginning with the 2024-2025 school year and ending with the 2025-2026 school year consisting of expenses to maintain operations, facility maintenance and to update curriculum and educational programming.","BE IT RESOLVED, Shall the School District Number 1, Village of Bristol, Kenosha County, Wisconsin be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $700,000 per year for two years beginning with the 2024-2025 school year and ending with the 2025-2026 school year, for non-recurring purposes consisting of expenses to maintain operations, facility maintenance and to update curriculum and educational programming.",1/22/24 10:09
5871,Issue Debt,3520,700,Brodhead School District,"Tuesday, April 2, 2024"," $ 17,485,000.00 ",David Novy,892,827,Passed,FALSE,FALSE,"Resolution Authorizing General Obligation Bonds In An Amount Not To Exceed $17,485,000.","Resolution Authorizing General Obligation Bonds In An Amount Not To Exceed $17,485,000 for the public purpose of construction additions, renovations, including for secure entrances, window replacements, bathroom upgrades, capital maintenance, building infrastructure and site improvements at Albrecht Elementary and Brodhead Middle School; construction of an addition and renovations at Brodhead High School, including for a secure entrance and office; and acquisition of furnishings, fixtures and equipment.",1/12/24 11:02
5813,Recurring Referendum,344,777,Burlington Area School District,"Tuesday, February 20, 2024"," $ 11,000,000.00 ",Ruth Schenning,2724,3432,Failed,FALSE,FALSE,"Exceed revenue limit by $6,000,000 for 24-25, by an additional $3,000,000 for 25-26, by an additional $1,000,000 for 26-27, and by an additional $1,000,000 for 27-28 (for a final total of $11,000,000) for recurring purposes consisting of operational and maintenance expenses.","BE IT RESOLVED by the School Board of the Burlington Area School District, Racine, Walworth and Kenosha Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $6,000,000 for the 2024-2025 school year; by an additional $3,000,000 for the 2025-2026 school year; by an additional $1,000,000 for the 2026-2027 school year; and by an additional $1,000,000 for the 2027-2028 school year (for a final total of $11,000,000) and thereafter, for recurring purposes consisting of operational and maintenance expenses.",11/14/23 11:58
