"District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref","op_ref"
"0007","Abbotsford",2002-04-02,"8960000","Issue Debt",354,567,"Failed","improvements at ES; remodeling at MS/HS and new construction; furnishings, fixtures, equipment",1,NA
"0007","Abbotsford",2002-04-02,"240000","Issue Debt",338,608,"Failed","operating funds",NA,1
"0007","Abbotsford",2007-11-06,"1.2e+07","Issue Debt",664,289,"Passed","construct grade school addition and remodeling projects at Abbotsford Junior/Senior high school building, furnishings, equipment",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007","Abbotsford",2002-11-05,"1e+06","NR - 2003",295,347,"Failed","non-recurring purposes",NA,NA
"0007","Abbotsford",2022-04-05,"1500000","Issue Debt",333,147,"Passed","Funds needed to finish FEMA project",NA,NA
"0014","Adams-Friendship Area",2007-02-20,"2345000","NR - 2007",1053,1321,"Failed","operational expenses",NA,1
"0014","Adams-Friendship Area",2011-09-06,"2100000","Issue Debt",840,486,"Passed","major roof repairs at various schools in the District; general masonry repairs at various schools; replacing steam heating system at Roche-a Cri elementary school; removing asbestos floor tile; upgrading bleachers to meet safety code; and replacing District phone system as well as other safety upgrades, capital maintenace and improvement projects",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0014","Adams-Friendship Area",2011-09-06,"103900","NR - 2011",777,546,"Passed","non recurring purposes consisting of demolition of the old Adams Grade school",1,NA
"0014","Adams-Friendship Area",2011-09-06,"875000","NR - 2012",746,582,"Passed","non recurring purposes consisting of purchasing school buses",NA,NA
"0014","Adams-Friendship Area",2013-04-02,"3185000","Issue Debt",1057,1601,"Failed","Constructing a performing arts addition to the high school",1,NA
"0014","Adams-Friendship Area",2015-04-07,"2500000","Issue Debt",1578,1452,"Passed","Construction of a Fine Arts Center",1,NA
"0014","Adams-Friendship Area",2018-04-03,"4750000","NR - 2018",1296,1149,"Passed","Resolution authorizing the school district budget to exceed the revenue limit by $950,000 a year for five years for non-recurring purposes.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0014","Adams-Friendship Area",2022-11-08,"12600000","NR - 2022",2760,2988,"Failed","To exceed the revenue limit for four years at a total cost of $12.6 million.",NA,NA
"0014","Adams-Friendship Area",2023-04-04,"1.2e+07","NR - 2023",2899,1891,"Passed","To exceed revenue cap $3,000,000 for 4 years beginning 2023-2024.",NA,NA
"0014","Adams-Friendship Area",1996-03-19,"1.5e+07","Issue Debt",2155,1335,"Passed","new hs, new bus bldg, other renov",1,NA
"0063","Albany",2003-10-21,"240000","NR",543,128,"Passed","non recurring purposes consisting of instructional and operational expenses",NA,1
"0063","Albany",2005-04-05,"1e+06","NR - 2005",463,170,"Passed","meet operating costs, to maintain existing programs, and to replace,maintain, and/or upgrade school district technology for operational and educational purposes",1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0063","Albany",2009-04-07,"2e+06","Issue Debt",552,258,"Passed","paying the cost of essential school building and safety improvements including energy efficient roof replacements and heating/cooling system upgrades",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0063","Albany",2009-04-07,"1750000","NR - 2009",470,336,"Passed","paying district operation and maintenance costs",NA,NA
"0063","Albany",2012-11-06,"1640000","NR - 2013",792,691,"Passed","Exceed revenue cap for operating expenses",NA,1
"0063","Albany",2016-04-05,"1200000","RR - 2016",886,396,"Passed","Recurring referendum 2016-17 $800,000; 2017-18 $200,000; 2018-19 $200,000",NA,NA
