"","District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref"
"1","0007","Abbotsford",2002-04-02,8960000,"Issue Debt",354,567,"Failed","improvements at ES; remodeling at MS/HS and new construction; furnishings, fixtures, equipment",1
"2","0007","Abbotsford",2007-11-06,1.2e+07,"Issue Debt",664,289,"Passed","construct grade school addition and remodeling projects at Abbotsford Junior/Senior high school building, furnishings, equipment",1
"3","0014","Adams-Friendship Area",2011-09-06,2100000,"Issue Debt",840,486,"Passed","major roof repairs at various schools in the District; general masonry repairs at various schools; replacing steam heating system at Roche-a Cri elementary school; removing asbestos floor tile; upgrading bleachers to meet safety code; and replacing District phone system as well as other safety upgrades, capital maintenace and improvement projects",1
"4","0014","Adams-Friendship Area",2011-09-06,103900,"NR - 2011",777,546,"Passed","non recurring purposes consisting of demolition of the old Adams Grade school",1
"5","0014","Adams-Friendship Area",2013-04-02,3185000,"Issue Debt",1057,1601,"Failed","Constructing a performing arts addition to the high school",1
"6","0014","Adams-Friendship Area",2015-04-07,2500000,"Issue Debt",1578,1452,"Passed","Construction of a Fine Arts Center",1
"7","0014","Adams-Friendship Area",1996-03-19,1.5e+07,"Issue Debt",2155,1335,"Passed","new hs, new bus bldg, other renov",1
"8","0063","Albany",2005-04-05,1e+06,"NR - 2005",463,170,"Passed","meet operating costs, to maintain existing programs, and to replace,maintain, and/or upgrade school district technology for operational and educational purposes",1
"9","0063","Albany",2009-04-07,2e+06,"Issue Debt",552,258,"Passed","paying the cost of essential school building and safety improvements including energy efficient roof replacements and heating/cooling system upgrades",1
"10","0063","Albany",2019-04-02,2750000,"Issue Debt",436,389,"Passed","Construction of an addition and renovations",1
"11","0063","Albany",1995-02-21,2975000,"Issue Debt",357,282,"Passed","15 roon addition & remod",1
"12","0070","Algoma",1997-05-06,3900000,"Issue Debt",782,153,"Passed","general improvements",1
"13","0070","Algoma",2016-04-05,4860000,"Issue Debt",1541,385,"Passed","Renovations, improvements and additions to the elementary school; high school restroom renovations; parking lot improvements at each school building; and equipment acquisition related to said projects.",1
"14","0084","Alma",2015-04-07,3e+06,"Issue Debt",382,187,"Passed","To pay for energy effiency improvements including new geothermal HVAC system, upgrades and/or replacements to lighting, electrical, windows, technology grounds and transportation vehicles.",1
"15","0084","Alma",2018-04-03,25000,"RR - 2018",294,224,"Passed","A referendum to exceed the revenue cap by an amount not to exceed $25,000 per year for the purpose of funding Fund 41 capital expenditures related to buildings and sites",1
"16","0091","Alma Center",1995-05-20,4800000,"Issue Debt",948,386,"Passed","new school",1
"17","0091","Alma Center",2004-09-14,950000,"Issue Debt",314,225,"Passed","classroom additions",1
"18","0091","Alma Center",2010-11-02,10300000,"Issue Debt",749,471,"Passed","Demolition work, constructing additions to and remodeling and renovating Lincoln Junior/Senior Hgih School.",1
"19","0091","Alma Center",2021-04-06,4900000,"Issue Debt",407,312,"Passed","This referendum will address energy efficiency projects,  capital maintenance improvements, as well as the completion of a new athletic stadium complex.",1
"20","0105","Almond-Bancroft",1998-04-07,5251000,"Issue Debt",393,391,"Passed","buy land; add to & remodel schools and improve facilities",1
"21","0105","Almond-Bancroft",2013-04-02,375000,"NR - 2013",252,224,"Passed","Update/Maintain Technology",1
"22","0112","Altoona",1998-09-08,3750000,"Issue Debt",589,699,"Failed","performing arts center at high schoo",1
