"","District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref","op_ref"
"1","0147","Appleton Area",2009-02-17,10900000,"RR - 2009",5463,6978,"Failed","improving class size ratios and purchasing curriculum materials including instructional technology",NA,1
"2","0147","Appleton Area",2022-11-08,5e+06,"RR - 2023",28188,14132,"Passed","We would like to exceed the revenue limit by $5,000,000 annually to fund increased staffing at the K - 2 level, which would allow us to reduce class sizes, add STEM staffing at the elementary and middle levels, and fund expenses for ongoing school building maintenance, cleaning, and utility costs.",1,1
"3","0308","Barron Area",2016-04-05,4500000,"NR - 2017",1443,1042,"Passed","Non-recurring referendum to exceed the revenue cap for five years 2017-18 through 2021-22 for the purpose of completing multiple necessary major maintenance projects and retaining high quality staff.",NA,1
"4","0485","Blair-Taylor",2023-04-04,4500000,"NR - 2023",567,511,"Passed","The purpose of the non-recurring referendum is to maintain current operations and opportunities for our students, attract and retain staff, rebuild our fund balance.",1,1
"5","0896","Cambridge",2023-04-04,2400000,"RR - 2023",1477,1279,"Passed","Recurring operational referendum: sustain class size, curriculum, technology, school safety and retain highly qualified staff.",NA,1
"6","1092","Chippewa Falls Area",2000-04-04,22465000,"NR",2095,2927,"Failed","increase staffing to reduce class sizes; technology/maintenance projects",NA,1
"7","1134","Clinton Community",2016-11-08,1800000,"RR - 2017",1837,1107,"Passed","For recurring purposes consisting of maintaining reasonable class sizes; educational programming, and supporting student access to instructional technology.",1,1
"8","1134","Clinton Community",2020-11-03,2e+06,"RR - 2021",1758,1596,"Passed","For recurring purposes consisting of maintaining reasonable
class sizes, sustaining and enhancing educational programming and maintenance expenses.",1,1
"9","1316","Deforest Area",2019-04-02,2500000,"RR - 2019",3256,2649,"Passed","To exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $2,500,000 starting in the 2019-2020 school year and thereafter for recurring purposes consisting of operating the new intermediate school and addition to the high school, expanding District programming supporting student achievement and the District’s capacity to attract and retain quality staff, and reducing capital project borrowing costs.",1,1
"10","1554","Eau Claire Area",2016-11-08,87900000,"NR - 2016",27036,15090,"Passed","To exceed revenue limit for $ 5,860,000 for 2016-17 and for each of the next 14 years for non-recurring purposes consisting of staff, building maintenance, safety and security improvements, class size, technology, and debt service for capital improvement projects.",1,1
