"leaid","neighbor_leaid"
"0629130","0600051"
"0629130","0629820"
"0629130","0624090"
"0629130","0605040"
"0629130","0611730"
"0629130","0631170"
"0606005","0606006"
"0606005","0636940"
"0606005","0619230"
"0606005","0606510"
"0606005","0609240"
"0606005","0619170"
"0606005","0639750"
"0606005","0600159"
"0606005","0619950"
"0606005","0601331"
"0602630","0614760"
"0602630","0606360"
"0602630","0614730"
"0602630","0614880"
"0602630","0601620"
"0602630","0622590"
"0602630","0630660"
"0602630","0628650"
"0618060","0614880"
"0618060","0635310"
"0618060","0622590"
"0618060","0627240"
"0630250","0638790"
"0630250","0602670"
"0630250","0635830"
"0630250","0627300"
"0630250","0604380"
"0630250","0604650"
"0630250","0615840"
"0630250","0640230"
"0630250","0626640"
"0630250","0627720"
"0630250","0636670"
"0630250","0637200"
"0630250","0609940"
"0635110","0638790"
"0635110","0600006"
"0635110","0619380"
"0635110","0620520"
"0635110","0627300"
"0635110","0633660"
"0635110","0627720"
"0638790","0630250"
"0638790","0635110"
"0638790","0611220"
"0638790","0620430"
"0638790","0621660"
"0638790","0635090"
"0638790","0627720"
"0638790","0636670"
"0638790","0634410"
"0630210","0606034"
"0630210","0633390"
"0630210","0627780"
"0630210","0624540"
"0630210","0691135"
"0630210","0600027"
"0630210","0609850"
"0612070","0612330"
"0612070","0602450"
"0612070","0613890"
"0612070","0620640"
"0612070","0605240"
"0606034","0630210"
"0606034","0630180"
"0606034","0600029"
"0606034","0625800"
"0606034","0691135"
"0606034","0600028"
"0606034","0616920"
"0606034","0600027"
"0606034","0634440"
"0642350","0626880"
"0642350","0611780"
"0642350","0601427"
"0642350","0608880"
"0642350","0630930"
"0642350","0606100"
"0642350","0623800"
"0642350","0643470"
"0642350","0624090"
"0642350","0642140"
"0611820","0624500"
"0611820","0630030"
"0611820","0625830"
"0611820","0635430"
"0611820","0634590"
"0626310","0614430"
"0626310","0636390"
"0626310","0631470"
"0626310","0610290"
"0626310","0638460"
"0626310","0620220"
"0626310","0629610"
"0626310","0635430"
"0614430","0626310"
"0614430","0622800"
"0614430","0607230"
"0614430","0622650"
"0614430","0635910"
"0614430","0607200"
"0614430","0620700"
"0614430","0626280"
"0614430","0625770"
"0614430","0620220"
"0614430","0635430"
"0622800","0614430"
"0622800","0607230"
"0622800","0635600"
"0622800","0616560"
"0622800","0626070"
"0622800","0610290"
"0622800","0607200"
"0622800","0625770"
"0622800","0640320"
"0622800","0607140"
"0622800","0629490"
"0622800","0620220"
"0622800","0600043"
"0622800","0625830"
"0622800","0634590"
"0622800","0634740"
"0607230","0614430"
"0607230","0622800"
"0607230","0610290"
"0607230","0635910"
"0607230","0622830"
"0607230","0635430"
"0607230","0634590"
"0638730","0641430"
"0638730","0619540"
"0638730","0606390"
"0638730","0606720"
"0638730","0620730"
"0638730","0622950"
"0638730","0632710"
"0638730","0623820"
"0638730","0603300"
"0641430","0638730"
"0641430","0610860"
"0641430","0619540"
"0641430","0604560"
"0641430","0606720"
"0641430","0621450"
"0641430","0624330"
"0641430","0632710"
"0641430","0631350"
"0641430","0624230"
"0641430","0632270"
"0641430","0609690"
"0641430","0636450"
"0641430","0603300"
"0621270","0624660"
"0621270","0608550"
"0621270","0606001"
"0621270","0612150"
"0621270","0624600"
"0621270","0636960"
"0621270","0641880"
"0621270","0602360"
"0621270","0608520"
"0621270","0631920"
"0621270","0623940"
"0624660","0621270"
"0624660","0608550"
"0624660","0699012"
"0624660","0630810"
"0624660","0630840"
"0624660","0602360"
"0624660","0608520"
"0624660","0633210"
"0624660","0600033"
"0624660","0616323"
"0624660","0600039"
"0624660","0600158"
"0624660","0617220"
"0624660","0622740"
"0624660","0623940"
"0624660","0611040"
"0606038","0602670"
"0606038","0635830"
"0606038","0631230"
"0606038","0614010"
"0606038","0616320"
"0606038","0617580"
"0606038","0624000"
"0606038","0625650"
"0606038","0624750"
"0606038","0607020"
"0606038","0600044"
"0606038","0615150"
"0606038","0600034"
"0609810","0632010"
"0609810","0606025"
"0609810","0699005"
"0609810","0620610"
"0609810","0615090"
"0609810","0631980"
"0609810","0632250"
"0609810","0600045"
"0609810","0622860"
"0609810","0608370"
"0609810","0633720"
"0632010","0609810"
"0632010","0636600"
"0632010","0602700"
"0632010","0605220"
"0632010","0609990"
"0632010","0618160"
"0632010","0609780"
"0632010","0612420"
"0632010","0613860"
"0632010","0632400"
"0632010","0622860"
"0632010","0637630"
"0632010","0642300"
"0632010","0629820"
"0632010","0631170"
"0632010","0633720"
"0614760","0602630"
"0614760","0642480"
"0614760","0611850"
"0614760","0602610"
"0614760","0608070"
"0614760","0601620"
"0614760","0616325"
"0614760","0605880"
"0614760","0630660"
"0614760","0627690"
"0614760","0633750"
"0608160","0632370"
"0608160","0613920"
"0608160","0608460"
"0608160","0631320"
"0608160","0619260"
"0608160","0600016"
"0608160","0608760"
"0608160","0636970"
"0608160","0609850"
"0606006","0606005"
"0606006","0611700"
"0606006","0603030"
"0606006","0636940"
"0606006","0636600"
"0606006","0607770"
"0606006","0614490"
"0606006","0618160"
"0606006","0606690"
"0606006","0611670"
"0606006","0614040"
"0606006","0626040"
"0606006","0623730"
"0606006","0600159"
"0606006","0619950"
"0606006","0600018"
"0606006","0601331"
"0606006","0614950"
"0606025","0609810"
"0606025","0699005"
"0606025","0620610"
"0606025","0608370"
"0606025","0601339"
"0606003","0611780"
"0606003","0633630"
"0606003","0633600"
"0606003","0630900"
"0606003","0607900"
"0606003","0600036"
"0606003","0601332"
"0606004","0634620"
"0606004","0600036"
"0606004","0601332"
"0602670","0630250"
"0602670","0606038"
"0602670","0635830"
"0602670","0631230"
"0602670","0604380"
"0602670","0611610"
"0602670","0617580"
"0602670","0630450"
"0602670","0642270"
"0602670","0643200"
"0602670","0636670"
"0602670","0600034"
"0602670","0609940"
"0635830","0630250"
"0635830","0606038"
"0635830","0602670"
"0635830","0601890"
"0635830","0614010"
"0635830","0615840"
"0635830","0627840"
"0635830","0630230"
"0635830","0636180"
"0635830","0637830"
"0635830","0607020"
"0635830","0637200"
"0635830","0600034"
"0635830","0609940"
"0621060","0613470"
"0621060","0605010"
"0621060","0638520"
"0621060","0600011"
"0621060","0642300"
"0621060","0625190"
"0621060","0636780"
"0621060","0631170"
"0606026","0606028"
"0606026","0606107"
"0606026","0636360"
"0606026","0637770"
"0606026","0610350"
"0606026","0622440"
"0606026","0601418"
"0606026","0601423"
"0606026","0641160"
"0606028","0606026"
"0606028","0639930"
"0606028","0639210"
"0606028","0638340"
"0606028","0601418"
"0606028","0601423"
"0606028","0621870"
"0606028","0600035"
"0606028","0641160"
"0635670","0635850"
"0635670","0606330"
"0635670","0622920"
"0635670","0600009"
"0635670","0623080"
"0635670","0622410"
"0635670","0603300"
"0635850","0635670"
"0635850","0606019"
"0635850","0605280"
"0635850","0609270"
"0635850","0615510"
"0635850","0617490"
"0635850","0625500"
"0635850","0628710"
"0635850","0600009"
"0635850","0607560"
"0635850","0601414"
"0635850","0628270"
"0635850","0622410"
"0611700","0606006"
"0611700","0636940"
"0611700","0624210"
"0611700","0626040"
"0611700","0609240"
"0611700","0639750"
"0611700","0614950"
"0619830","0606016"
"0619830","0616500"
"0619830","0619770"
"0619830","0619890"
"0619830","0619700"
"0619830","0600065"
"0619830","0621150"
"0619830","0629910"
"0619830","0636270"
"0619830","0641160"
"0634140","0619650"
"0634140","0633980"
"0634140","0601950"
"0634140","0605190"
"0634140","0619680"
"0634140","0635790"
"0634140","0600022"
"0634140","0600033"
"0634140","0609120"
"0634140","0691136"
"0634140","0637050"
"0634140","0600046"
"0634140","0622740"
"0634140","0615180"
"0603030","0606006"
"0603030","0614190"
"0603030","0699007"
"0603030","0699006"
"0603030","0614520"
"0603030","0619980"
"0603030","0637350"
"0603030","0606510"
"0603030","0606000"
"0603030","0600052"
"0603030","0619950"
"0603030","0610770"
"0603030","0699997"
"0603030","0600018"
"0614190","0603030"
"0614190","0699007"
"0614190","0699006"
"0614190","0614910"
"0614190","0619980"
"0614190","0623730"
"0614190","0637350"
"0614190","0637630"
"0614190","0637590"
"0614190","0600037"
"0614190","0600038"
"0614190","0699997"
"0614190","0600018"
"0607920","0601428"
"0607920","0600032"
"0607920","0622710"
"0607920","0618390"
"0607920","0639420"
"0642510","0602820"
"0642510","0642120"
"0642510","0615600"
"0642510","0617880"
"0642510","0600001"
"0642510","0613800"
"0642510","0622710"
"0642510","0636840"
"0608550","0621270"
"0608550","0624660"
"0608550","0606001"
"0608550","0612150"
"0608550","0621240"
"0608550","0630810"
"0608550","0631920"
"0608550","0623340"
"0608550","0600033"
"0606053","0633980"
"0606053","0601950"
"0606053","0637710"
"0606053","0637050"
"0606053","0607530"
"0606053","0600046"
"0625150","0606031"
"0625150","0627030"
"0625150","0623610"
"0625150","0632880"
"0625150","0600061"
"0625150","0600060"
"0625150","0600062"
"0625150","0612840"
"0625150","0630030"
"0625150","0600063"
"0625150","0608130"
"0606018","0699002"
"0606018","0602370"
"0606018","0625290"
"0606018","0614550"
"0606018","0601415"
"0606018","0600067"
"0606018","0614250"
"0606018","0607970"
"0606016","0619830"
"0606016","0639600"
"0606016","0610350"
"0606016","0619700"
"0606016","0600065"
"0606016","0641160"
"0618930","0634980"
"0618930","0624900"
"0618930","0637530"
"0618930","0606780"
"0618930","0634410"
"0636972","0602820"
"0636972","0611910"
"0636972","0619440"
"0636972","0642810"
"0636972","0604020"
"0636972","0600014"
"0636972","0600017"
"0636972","0636970"
"0636972","0626490"
"0606019","0635850"
"0606019","0609330"
"0606019","0641220"
"0606019","0607560"
"0606019","0601414"
"0614820","0622230"
"0614820","0612330"
"0614820","0602450"
"0614820","0633110"
"0626880","0642350"
"0626880","0630750"
"0626880","0699014"
"0626880","0602250"
"0626880","0609300"
"0626880","0603480"
"0626880","0630720"
"0626880","0607260"
"0626880","0642330"
"0626880","0624090"
"0626880","0636780"
"0626880","0638770"
"0626880","0642140"
"0612910","0634380"
"0612910","0631740"
"0612910","0636990"
"0612910","0631710"
"0612910","0634880"
"0612910","0601426"
"0612910","0600069"
"0612910","0631530"
"0613530","0607440"
"0613530","0600029"
"0613530","0601426"
"0613530","0600028"
"0613530","0600069"
"0613530","0628250"
"0616230","0619110"
"0616230","0638640"
"0616230","0608610"
"0616230","0619140"
"0616230","0631710"
"0616230","0626100"
"0616230","0631530"
"0616230","0634320"
"0619110","0616230"
"0619110","0605820"
"0619110","0602100"
"0619110","0642180"
"0619110","0605700"
"0619110","0631710"
"0619110","0618210"
"0619110","0600042"
"0619110","0626100"
"0619110","0600069"
"0634380","0612910"
"0634380","0612880"
"0634380","0634880"
"0634380","0607500"
"0634380","0631530"
"0634380","0634320"
"0638640","0616230"
"0638640","0606810"
"0638640","0618730"
"0638640","0620250"
"0638640","0609870"
"0638640","0634320"
"0610860","0641430"
"0610860","0639930"
"0610860","0606107"
"0610860","0619540"
"0610860","0630630"
"0610860","0611550"
"0610860","0639060"
"0610860","0603630"
"0610860","0605250"
"0610860","0622950"
"0610860","0636330"
"0610860","0637890"
"0610860","0641400"
"0610860","0635940"
"0610860","0621900"
"0610860","0624230"
"0610860","0609690"
"0610860","0602010"
"0639930","0606028"
"0639930","0610860"
"0639930","0606107"
"0639930","0616500"
"0639930","0638430"
"0639930","0611760"
"0639930","0643170"
"0639930","0629160"
"0639930","0619890"
"0639930","0620760"
"0639930","0635940"
"0639930","0631050"
"0639930","0609690"
"0639930","0601423"
"0639930","0621870"
"0639930","0602010"
"0639930","0641160"
"0606107","0606026"
"0606107","0610860"
"0606107","0639930"
"0606107","0619540"
"0606107","0639210"
"0606107","0632430"
"0606107","0639300"
"0606107","0639870"
"0606107","0611760"
"0606107","0630630"
"0606107","0605250"
"0606107","0610890"
"0606107","0619590"
"0606107","0637470"
"0606107","0638340"
"0606107","0636800"
"0606107","0622440"
"0606107","0601423"
"0606107","0621870"
"0606107","0600064"
"0601650","0607800"
"0601650","0626370"
"0601650","0604740"
"0601650","0628050"
"0601650","0624030"
"0601650","0632550"
"0601650","0635130"
"0621600","0606020"
"0621600","0626130"
"0621600","0622230"
"0621600","0626370"
"0621600","0600047"
"0621600","0622110"
"0621600","0633110"
"0621600","0601410"
"0621600","0602850"
"0608010","0606900"
"0608010","0617430"
"0608010","0618210"
"0606020","0621600"
"0606020","0606031"
"0606020","0618840"
"0606020","0606750"
"0606020","0622110"
"0606020","0601410"
"0602820","0642510"
"0602820","0636972"
"0602820","0619540"
"0602820","0635970"
"0602820","0603270"
"0602820","0607740"
"0602820","0601710"
"0602820","0637620"
"0602820","0620130"
"0602820","0600001"
"0602820","0613800"
"0602820","0636970"
"0602820","0600026"
"0602820","0626490"
"0606037","0612120"
"0606037","0612090"
"0606037","0633570"
"0606037","0640650"
"0606037","0634425"
"0606037","0625470"
"0606037","0600153"
"0612120","0606037"
"0612120","0642480"
"0612120","0614940"
"0612120","0642450"
"0612120","0603690"
"0612120","0625320"
"0612120","0634425"
"0612120","0604110"
"0612120","0611520"
"0612120","0612180"
"0612120","0625470"
"0612120","0638980"
"0612120","0602970"
"0642480","0614760"
"0642480","0612120"
"0642480","0623010"
"0642480","0626190"
"0642480","0640650"
"0642480","0611460"
"0642480","0604110"
"0642480","0612180"
"0642480","0616325"
"0642480","0627690"
"0606022","0629270"
"0606022","0624720"
"0606022","0601421"
"0606022","0628270"
"0606022","0613800"
"0606022","0640980"
"0605940","0637260"
"0605940","0638280"
"0605940","0699013"
"0605940","0640800"
"0605940","0609480"
"0605940","0618690"
"0605940","0640200"
"0605940","0620010"
"0605940","0602450"
"0605940","0606870"
"0605940","0602070"
"0611780","0642350"
"0611780","0606003"
"0611780","0638610"
"0611780","0633630"
"0611780","0633600"
"0611780","0612600"
"0611780","0631180"
"0611780","0642330"
"0611780","0642900"
"0611780","0643080"
"0611780","0643470"
"0611780","0600036"
"0611780","0642140"
"0638610","0611780"
"0638610","0623800"
"0638610","0643080"
"0638610","0643470"
"0638610","0624090"
"0638610","0630360"
"0638610","0609570"
"0638610","0622050"
"0634980","0618930"
"0634980","0636390"
"0634980","0604530"
"0634980","0620460"
"0634980","0632130"
"0634980","0637530"
"0634980","0606780"
"0636390","0626310"
"0636390","0634980"
"0636390","0634920"
"0636390","0622650"
"0636390","0606780"
"0636390","0620220"
"0636390","0629610"
"0619650","0634140"
"0619650","0699010"
"0619650","0635010"
"0619650","0618810"
"0619650","0629770"
"0619650","0609120"
"0619650","0600031"
"0619650","0637050"
"0619650","0607530"
"0619650","0636450"
"0619650","0699997"
"0619650","0600049"
"0633980","0634140"
"0633980","0606053"
"0633980","0608580"
"0633980","0608640"
"0633980","0691136"
"0633980","0625530"
"0633980","0607530"
"0633980","0600046"
"0633980","0627590"
"0616500","0619830"
"0616500","0639930"
"0616500","0621400"
"0616500","0619800"
"0616500","0607980"
"0616500","0618510"
"0616500","0621360"
"0616500","0639600"
"0616500","0627900"
"0616500","0641820"
"0616500","0609690"
"0616500","0621150"
"0616500","0600040"
"0616500","0699997"
"0616500","0641160"
"0621400","0616500"
"0621400","0603180"
"0621400","0619770"
"0621400","0630510"
"0621400","0632270"
"0621400","0609690"
"0621400","0609120"
"0621400","0600040"
"0630750","0626880"
"0630750","0633630"
"0630750","0633600"
"0630750","0613080"
"0630750","0608340"
"0630750","0626820"
"0630750","0630930"
"0630750","0638770"
"0630750","0642140"
"0630750","0600013"
"0630750","0605240"
"0633630","0606003"
"0633630","0611780"
"0633630","0630750"
"0633630","0622560"
"0633630","0612600"
"0633630","0630900"
"0633630","0634620"
"0633630","0607900"
"0633630","0613890"
"0633630","0642140"
"0633630","0600013"
"0633630","0601332"
"0633630","0605240"
"0606013","0600060"
"0606013","0600158"
"0606013","0617220"
"0606013","0627200"
"0606013","0630030"
"0606013","0608130"
"0606021","0699004"
"0606021","0604860"
"0606021","0601409"
"0606021","0611870"
"0606021","0623530"
"0636940","0606005"
"0636940","0606006"
"0636940","0611700"
"0636940","0643410"
"0636940","0636600"
"0636940","0607770"
"0636940","0604980"
"0636940","0618270"
"0636940","0611670"
"0636940","0614040"
"0636940","0614970"
"0636940","0619920"
"0636940","0621960"
"0636940","0609240"
"0636940","0613470"
"0636940","0605010"
"0636940","0606580"
"0636940","0600159"
"0636940","0619950"
"0636940","0610770"
"0636940","0614950"
"0643410","0636940"
"0643410","0606690"
"0643410","0636240"
"0643410","0641980"
"0643410","0606580"
"0643410","0600159"
"0606001","0621270"
